Epochs    TL                  TA                  VL                  VA                  Time                
291       0.171649391287      0.973333333333      0.190260157354      0.973333333333      0.0013370513916     
292       0.172522089231      0.973333333333      0.190161590299      0.973333333333      0.00134706497192    
293       0.173262441939      0.986666666667      0.191502338497      0.96                0.00121402740479    
294       0.171644624136      0.973333333333      0.189452913422      0.973333333333      0.00118684768677    
295       0.17075595282       0.973333333333      0.188664958875      0.973333333333      0.00119209289551    
296       0.171080566155      0.986666666667      0.188122402333      0.973333333333      0.00151991844177    
297       0.169740951956      0.973333333333      0.189002221322      0.973333333333      0.00133013725281    
298       0.173217130599      0.973333333333      0.18765353869       0.973333333333      0.00103402137756    
299       0.16766571756       0.986666666667      0.186859124382      0.973333333333      0.00127816200256    
300       0.167114385347      0.986666666667      0.186817062633      0.973333333333      0.00145602226257    
